,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Cases/1M pop,Death1m,TotalTest,Test1MPeople,population,region,1CaseEveryXPPL,1DeathEveryXPPL,1TestEveryXPPL,temp,X,Y
1,,"
North America
","63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America,"
",,,,,
2,,"
Asia
","84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia,"
",,,,,
3,,"
South America
","39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America,"
",,,,,
4,,"
Europe
","83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe,"
",,,,,
5,,"
Africa
","9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa,"
",,,,,
6,,"
Oceania
","463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania,"
",,,,,
7,,"

",721,,15,,706,,0,0,,,,,,,"
320,71,Venezuela,"443,167",+168,"5,313 ",+1,"431,741",+200,"6,113",681,"15,650",188,"3,359,014","118,624","28,316,594 ",South America,64,"5,330",8,6,0.04,216
321,72,Palestine,"438,087",+177,"4,632 ",+4,"429,669",+321,"3,786",52,"83,023",878,"2,826,814","535,714","5,276,722 ",Asia,12,"1,139",2,34,0.8,717
322,73,Kuwait,"414,911",+150,"2,468 ",+1,"411,299",+43,"1,144",5,"95,075",566,"5,838,773","1,337,936","4,364,016 ",Asia,11,"1,768",1,34,0.2,262
323,74,Dominican Republic,"413,887",+696,"4,237 ",+3,"407,250",+235,"2,400",78,"37,596",385,"2,553,956","231,989","11,008,930 ",North America,27,"2,598",4,63,0.3,218
324,75,Uruguay,"407,099",+360,"6,163 ",+1,"397,006",+233,"3,930",23,"116,595","1,765","4,334,499","1,241,423","3,491,557 ",South America,9,567,1,103,0.3,"1,126"
325,76,Ethiopia,"395,750","+5,013","6,894 ",+6,"352,131",+106,"36,725",193,"3,321",58,"4,041,996","33,917","119,172,553 ",Africa,301,"17,286",29,42,0.05,308
326,77,Mongolia,"388,311",+248,"2,054 ",+1,"313,256",,"73,001",192,"115,693",612,"4,030,048","1,200,709","3,356,390 ",Asia,9,"1,634",1,74,0.3,"21,750"
327,78,Libya,"384,663",,"5,641 ",,"372,884",,"6,138",,"54,877",805,"1,999,814","285,298","7,009,553 ",Africa,18,"1,243",4,,,876
328,79,Egypt,"380,520",+866,"21,571 ",+25,"316,656",+760,"42,293",90,"3,617",205,"3,693,367","35,112","105,188,973 ",Africa,276,"4,876",28,8,0.2,402
329,80,Honduras,"379,073",,"10,430 ",,"123,783",,"244,860",50,"37,393","1,029","1,135,703","112,028","10,137,656 ",North America,27,972,9,,,"24,154"
330,81,Moldova,"374,349",+229,"9,605 ",+16,"360,211",+293,"4,533",155,"93,120","2,389","2,326,057","578,610","4,020,076 ",Europe,11,419,2,57,4,"1,128"
331,82,Norway,"372,123","+1,989","1,257 ",,"88,952",,"281,914",114,"67,856",229,"9,213,931","1,680,148","5,483,998 ",Europe,15,"4,363",1,363,,"51,407"
332,83,Armenia,"344,379",+118,"7,942 ",+3,"330,311",+328,"6,126",,"115,896","2,673","2,530,000","851,438","2,971,445 ",Asia,9,374,1,40,1,"2,062"
333,84,Oman,"305,058",+31,"4,113 ",,"300,235",,710,2,"57,574",776,"25,000,000","4,718,251","5,298,573 ",Asia,17,"1,288",0,6,,134
334,85,Australia,"292,536","+9,947","2,188 ",+6,"229,264",,"61,084",126,"11,278",84,"53,423,074","2,059,664","25,937,765 ",Australia/Oceania,89,"11,855",0,383,0.2,"2,355"
335,86,Bosnia and Herzegovina,"287,276",,"13,269 ",,"192,218",,"81,789",,"88,377","4,082","1,461,608","449,644","3,250,587 ",Europe,11,245,2,,,"25,161"
336,87,Kenya,"281,358","+3,749","5,359 ",+2,"249,937",+243,"26,062",17,"5,067",97,"2,987,255","53,803","55,522,443 ",Africa,197,"10,361",19,68,0.04,469
337,88,Bahrain,"279,518",+241,"1,394 ",,"276,808",+46,"1,316",1,"156,251",779,"7,897,334","4,414,619","1,788,905 ",Asia,6,"1,283",0,135,,736
338,89,Singapore,"277,555",+248,821 ,+1,"273,860",+379,"2,874",19,"46,897",139,"21,098,774","3,564,911","5,918,458 ",Asia,21,"7,209",0,42,0.2,486
339,90,Latvia,"271,228",+122,"4,500 ",+6,"257,097",+799,"9,631",82,"146,191","2,425","5,563,299","2,998,596","1,855,301 ",Europe,7,412,0,66,3,"5,191"
340,91,Qatar,"247,796",+279,614 ,,"244,615",+153,"2,567",13,"88,253",219,"3,138,247","1,117,687","2,807,805 ",Asia,11,"4,573",1,99,,914
341,92,Estonia,"236,132",+464,"1,907 ",,"220,676",+320,"13,549",19,"177,830","1,436","2,482,002","1,869,180","1,327,856 ",Europe,6,696,1,349,,"10,204"
342,93,Nigeria,"236,014","+1,305","3,014 ",+21,"212,357",+120,"20,643",11,"1,104",14,"3,751,696","17,557","213,691,180 ",Africa,905,"70,900",57,6,0.10,97
343,94,Zambia,"231,581","+2,649","3,697 ",+6,"210,026","+1,094","17,858",259,"12,096",193,"2,888,028","150,853","19,144,679 ",Africa,83,"5,178",7,138,0.3,933
344,95,Finland,"230,392",,"1,507 ",,"46,000",,"182,885",59,"41,486",271,"8,501,077","1,530,769","5,553,467 ",Europe,24,"3,685",1,,,"32,932"
345,96,North Macedonia,"222,932",+266,"7,894 ",+15,"210,319",+717,"4,719",,"107,012","3,789","1,570,171","753,713","2,083,247 ",Europe,9,264,1,128,7,"2,265"
346,97,Algeria,"216,376",+278,"6,229 ",+7,"148,789",+190,"61,358",36,"4,806",138,"230,861","5,128","45,022,233 ",Africa,208,"7,228",195,6,0.2,"1,363"
347,98,Botswana,"208,994",,"2,427 ",,"195,479",,"11,088",1,"86,296","1,002","1,997,064","824,606","2,421,841 ",Africa,12,998,1,,,"4,578"
348,99,Albania,"207,542",+321,"3,189 ",+2,"199,133",+300,"5,220",23,"72,235","1,110","1,459,507","507,983","2,873,143 ",Europe,14,901,2,112,0.7,"1,817"
349,100,Zimbabwe,"203,746","+1,010","4,885 ",+14,"159,974","+4,325","38,887",12,"13,419",322,"1,808,782","119,132","15,183,053 ",Africa,75,"3,108",8,67,0.9,"2,561"
350,101,Uzbekistan,"198,099",+181,"1,477 ",+2,"195,004",+216,"1,618",23,"5,795",43,"1,377,915","40,305","34,186,899 ",Asia,173,"23,146",25,5,0.06,47
351,102,Kyrgyzstan,"184,439",+44,"2,792 ",+2,"179,545",+48,"2,102",131,"27,596",418,"1,903,213","284,766","6,683,427 ",Asia,36,"2,394",4,7,0.3,315
352,103,Mozambique,"170,975",+898,"1,967 ",+2,"151,290",,"17,718",13,"5,253",60,"1,056,667","32,464","32,549,274 ",Africa,190,"16,548",31,28,0.06,544
353,104,Montenegro,"162,828",+464,"2,389 ",+3,"157,792",+152,"2,647",60,"259,204","3,803","952,203","1,515,803","628,184 ",Europe,4,263,1,739,5,"4,214"
354,105,Afghanistan,"157,902",+11,"7,352 ",+4,"145,392",+17,"5,158","1,124","3,926",183,"816,458","20,298","40,224,465 ",Asia,255,"5,471",49,0.3,0.10,128
355,106,Cyprus,"149,848",+268,628 ,+1,"124,370",,"24,850",60,"122,789",515,"9,477,138","7,765,784","1,220,371 ",Asia,8,"1,943",0,220,0.8,"20,363"
356,107,Namibia,"144,629","+1,053","3,608 ",+7,"128,570",+384,"12,451",23,"55,435","1,383","858,339","328,996","2,608,965 ",Africa,18,723,3,404,3,"4,772"
357,108,Ghana,"134,555",,"1,269 ",,"129,921",,"3,365",5,"4,201",40,"2,073,433","64,730","32,032,012 ",Africa,238,"25,242",15,,,105
358,109,Uganda,"133,232","+1,251","3,274 ",,"98,197",+22,"31,761",85,"2,783",68,"2,101,546","43,897","47,874,597 ",Africa,359,"14,623",23,26,,663
359,110,El Salvador,"121,741",,"3,818 ",+1,"107,088",,"10,835",91,"18,630",584,"1,505,621","230,405","6,534,665 ",North America,54,"1,712",4,,0.2,"1,658"
360,111,Cambodia,"120,445",+5,"3,008 ",+1,"116,853",+8,584,,"7,060",176,"2,758,095","161,658","17,061,340 ",Asia,142,"5,672",6,0.3,0.06,34
361,112,Cameroon,"108,451",,"1,851 ",,"105,735",,865,13,"3,940",67,"1,751,774","63,649","27,522,522 ",Africa,254,"14,869",16,,,31
362,113,Laos,"105,380","+1,007",317 ,+12,"7,339",,"97,724",,"14,180",43,"901,338","121,282","7,431,769 ",Asia,71,"23,444",8,135,2,"13,149"
363,114,Rwanda,"104,512",+713,"1,346 ",+1,"45,522",,"57,644",,"7,784",100,"3,890,593","289,764","13,426,771 ",Africa,128,"9,975",3,53,0.07,"4,293"
364,115,Luxembourg,"98,983",,907 ,,"92,159",,"5,917",18,"154,409","1,415","3,795,724","5,921,160","641,044 ",Europe,6,707,0,,,"9,230"
365,116,Maldives,"94,732",+168,261 ,,"92,439",+88,"2,032",23,"170,803",471,"1,855,901","3,346,221","554,626 ",Asia,6,"2,125",0,303,,"3,664"
366,117,Jamaica,"92,513",+158,"2,462 ",,"64,882",+150,"25,169",5,"31,041",826,"698,418","234,344","2,980,306 ",North America,32,"1,211",4,53,,"8,445"
367,118,Trinidad and Tobago,"89,364",+420,"2,738 ",+20,"70,045",+362,"16,581",22,"63,550","1,947","500,624","356,012","1,406,199 ",North America,16,514,3,299,14,"11,791"
368,119,Senegal,"74,353",+51,"1,890 ",,"72,292",+18,171,,"4,274",109,"910,844","52,359","17,395,989 ",Africa,234,"9,204",19,3,,10
369,120,Réunion,"71,795",,401 ,,"65,494",,"5,900",34,"79,351",443,"1,347,378","1,489,191","904,772 ",Africa,13,"2,256",1,,,"6,521"
370,121,Angola,"71,142",+921,"1,746 ",,"63,995",+32,"5,401",3,"2,070",51,"1,251,654","36,410","34,376,372 ",Africa,483,"19,689",27,27,,157
371,122,Malawi,"70,682",+947,"2,328 ",+6,"59,563",+6,"8,791",67,"3,559",117,"476,377","23,986","19,860,502 ",Africa,281,"8,531",42,48,0.3,443
372,123,DRC,"70,059",,"1,126 ",,"50,930",,"18,003",,749,12,"846,704","9,048","93,583,518 ",Africa,"1,336","83,111",111,,,192
373,124,Eswatini,"64,381",+428,"1,272 ",,"53,836",+750,"9,273",11,"54,655","1,080","424,032","359,976","1,177,944 ",Africa,18,926,3,363,,"7,872"
374,125,Ivory Coast,"63,847",+455,707 ,,"61,245",+41,"1,895",,"2,335",26,"1,208,604","44,200","27,343,734 ",Africa,428,"38,676",23,17,,69
375,126,Guadeloupe,"56,035",,750 ,,"2,250",,"53,035",23,"140,009","1,874","607,573","1,518,079","400,225 ",North America,7,534,1,,,"132,513"
376,127,Fiji,"52,815",,697 ,,"51,221",,897,,"58,291",769,"469,654","518,346","906,062 ",Australia/Oceania,17,"1,300",2,,,990
377,128,Suriname,"51,563",+21,"1,186 ",,"49,082",,"1,295",3,"86,746","1,995","167,122","281,155","594,413 ",South America,12,501,4,35,,"2,179"
378,129,Syria,"50,051",+44,"2,871 ",+4,"31,791",+120,"15,389",,"2,761",158,"146,269","8,068","18,129,053 ",Asia,362,"6,315",124,2,0.2,849
379,130,Madagascar,"49,590","+2,295","1,027 ",+31,"44,708",+747,"3,855",22,"1,725",36,"320,884","11,164","28,743,100 ",Africa,580,"27,987",90,80,1,134
380,131,Martinique,"47,300",,769 ,,104,,"46,427",1,"126,189","2,052","466,711","1,245,114","374,834 ",North America,8,487,1,,,"123,860"
381,132,French Guiana,"47,229",,337 ,,"11,254",,"35,638",5,"152,291","1,087","481,773","1,553,490","310,123 ",South America,7,920,1,,,"114,916"
382,133,French Polynesia,"46,376",,636 ,,N/A,N/A,N/A,7,"163,692","2,245",,,"283,312 ",Australia/Oceania,6,445,,,,"43,203"
383,134,Sudan,"46,100",,"3,298 ",,"38,292",,"4,510",,"1,016",73,"562,941","12,410","45,362,719 ",Africa,984,"13,755",81,,,99
384,135,Malta,"45,678",+917,474 ,+1,"39,503",+96,"5,701",5,"103,045","1,069","1,211,456","2,732,912","443,284 ",Europe,10,935,0,"2,069",2,"12,861"
385,136,Mauritania,"40,453",+64,862 ,+1,"38,957",+28,634,18,"8,375",178,"550,908","114,053","4,830,271 ",Africa,119,"5,604",9,13,0.2,131
386,137,Guyana,"39,086",+44,"1,045 ",+3,"37,301",+32,740,7,"49,340","1,319","418,463","528,248","792,172 ",South America,20,758,2,56,4,934
387,138,Cabo Verde,"39,013",+148,351 ,,"38,169",+24,493,23,"69,059",621,"388,481","687,668","564,925 ",Africa,14,"1,609",1,262,,873
388,139,Gabon,"38,039",,286 ,,"36,221",,"1,532",5,"16,515",124,"1,469,004","637,763","2,303,368 ",Africa,61,"8,054",2,,,665
389,140,Papua New Guinea,"36,110",,589 ,,"35,374",,147,7,"3,926",64,"249,149","27,088","9,197,677 ",Australia/Oceania,255,"15,616",37,,,16
390,141,Belize,"31,503",,592 ,,"30,415",,496,4,"77,156","1,450","375,152","918,806","408,304 ",North America,13,690,1,,,"1,215"
391,142,Guinea,"31,038",+62,389 ,,"29,803",+1,846,49,"2,272",28,"570,956","41,800","13,659,176 ",Africa,440,"35,114",24,5,,62
392,143,Togo,"27,992",+308,246 ,,"26,050",+16,"1,696",,"3,268",29,"607,752","70,953","8,565,548 ",Africa,306,"34,819",14,36,,198
393,144,Barbados,"27,629",+47,260 ,,"26,380",+29,989,,"95,969",903,"464,644","1,613,930","287,896 ",North America,10,"1,107",1,163,,"3,435"
394,145,Lesotho,"27,595",,665 ,,"14,803",,"12,127",,"12,732",307,"312,347","144,112","2,167,390 ",Africa,79,"3,259",7,,,"5,595"
395,146,Tanzania,"26,483",,734 ,,N/A,N/A,N/A,7,425,12,,,"62,248,035 ",Africa,"2,350","84,807",,,,411
396,147,Haiti,"25,950",,765 ,,"23,064",,"2,121",,"2,235",66,"132,422","11,408","11,608,241 ",North America,447,"15,174",88,,,183
397,148,Benin,"24,935",,161 ,,"24,705",,69,5,"1,980",13,"604,310","47,990","12,592,466 ",Africa,505,"78,214",21,,,5
398,149,Seychelles,"24,197",,131 ,,"23,742",,324,,"243,803","1,320",,,"99,248 ",Africa,4,758,,,,"3,265"
399,150,Burundi,"23,657",,38 ,,773,,"22,846",,"1,906",3,"345,742","27,851","12,413,947 ",Africa,525,"326,683",36,,,"1,840"
400,151,Channel Islands,"23,627",,112 ,,"20,939",,"2,576",,"134,065",636,"1,123,134","6,372,934","176,235 ",Europe,7,"1,574",0,,,"14,617"
401,152,Bahamas,"23,539",,713 ,,"21,745",,"1,081",2,"59,024","1,788","180,017","451,390","398,806 ",North America,17,559,2,,,"2,711"
402,153,Somalia,"23,532",,"1,333 ",,"12,948",,"9,251",,"1,422",81,"391,308","23,646","16,548,383 ",Africa,703,"12,414",42,,,559
403,154,Mauritius,"23,170",+65,762 ,,"21,714",+78,694,,"18,174",598,"358,675","281,337","1,274,894 ",Africa,55,"1,673",4,51,,544
404,155,Iceland,"22,087",,37 ,,"19,428",,"2,622",3,"64,109",107,"1,331,380","3,864,427","344,522 ",Europe,16,"9,311",0,,,"7,611"
405,156,Andorra,"21,730",,139 ,,"19,870",,"1,721",31,"280,575","1,795","235,283","3,037,948","77,448 ",Europe,4,557,0,,,"22,221"
406,157,Mayotte,"21,391",,185 ,,"2,964",,"18,242",,"75,708",655,"176,919","626,162","282,545 ",Africa,13,"1,527",2,,,"64,563"
407,158,Mali,"20,011",+145,653 ,+1,"17,526",+334,"1,832",,948,31,"527,355","24,978","21,112,589 ",Africa,"1,055","32,332",40,7,0.05,87
408,159,Timor-Leste,"19,833",,122 ,,"19,704",,7,,"14,631",90,"225,317","166,214","1,355,583 ",Asia,68,"11,111",6,,,5
409,160,Congo,"19,490",,367 ,,"12,421",,"6,702",,"3,408",64,"301,494","52,719","5,718,841 ",Africa,293,"15,583",19,,,"1,172"
410,161,Curaçao,"18,884",+262,186 ,,"17,503",+31,"1,195",3,"114,388","1,127","379,686","2,299,915","165,087 ",North America,9,888,0,"1,587",,"7,239"
411,162,Aruba,"17,500",+176,181 ,,"16,565",+14,754,6,"162,886","1,685","177,885","1,655,715","107,437 ",North America,6,594,1,"1,638",,"7,018"
412,163,Nicaragua,"17,442",,211 ,,"4,225",,"13,006",,"2,587",31,,,"6,741,198 ",North America,386,"31,949",,,,"1,929"
413,164,Tajikistan,"17,095",,124 ,,"16,966",,5,,"1,735",13,,,"9,854,351 ",Asia,576,"79,471",,,,0.5
414,165,Burkina Faso,"17,040",,317 ,,"16,250",,473,,783,15,"239,193","10,997","21,750,231 ",Africa,"1,276","68,613",91,,,22
415,166,Taiwan,"16,891",+18,850 ,,"15,802",+4,239,,707,36,"9,099,571","381,044","23,880,616 ",Asia,"1,414","28,095",3,0.8,,10
416,167,Brunei ,"15,429",,98 ,,"15,189",,142,,"34,775",221,"677,619","1,527,270","443,680 ",Asia,29,"4,527",1,,,320
417,168,South Sudan,"14,577",,135 ,,"12,717",,"1,725",2,"1,280",12,"292,582","25,692","11,387,952 ",Africa,781,"84,355",39,,,151
418,169,New Zealand,"13,785",+66,49 ,,"12,122",,"1,614",26,"2,756",10,"5,498,055","1,099,149","5,002,100 ",Australia/Oceania,363,"102,084",1,13,,323
419,170,Equatorial Guinea,"13,630",+7,175 ,,"13,410",,45,1,"9,265",119,"263,190","178,912","1,471,055 ",Africa,108,"8,406",6,5,,31
420,171,Djibouti,"13,568",+13,189 ,,"13,326",+8,53,,"13,444",187,"256,617","254,263","1,009,258 ",Africa,74,"5,340",4,13,,53
421,172,Isle of Man,"13,438",+13,67 ,,"12,771",+166,600,1,"156,805",782,"133,676","1,559,832","85,699 ",Europe,6,"1,279",1,152,,"7,001"
422,173,Saint Lucia,"13,275",+27,295  ,,"12,829",+16,151,2,"71,807","1,596","105,961","573,165","184,870 ",North America,14,627,2,146,,817
423,174,New Caledonia,"12,581",,280 ,,"12,103",,198,4,"43,449",967,"42,756","147,658","289,561 ",Australia/Oceania,23,"1,034",7,,,684
424,175,Hong Kong,"12,581",+25,213 ,,"12,189",,179,,"1,658",28,"29,687,335","3,912,909","7,587,024 ",Asia,603,"35,620",0,3,,24
425,176,CAR,"11,961",,101 ,,"6,859",,"5,001",2,"2,414",20,"74,519","15,042","4,953,979 ",Africa,414,"49,049",66,,,"1,009"
426,177,Yemen,"10,111",+2,"1,983 ",+1,"7,002",,"1,126",23,328,64,"265,253","8,613","30,797,162 ",Asia,"3,046","15,531",116,0.06,0.03,37
427,178,Gambia,"10,087",,342 ,,"9,688",,57,4,"4,008",136,"131,044","52,064","2,516,982 ",Africa,250,"7,360",19,,,23
428,179,Cayman Islands,"8,386",,11 ,,"4,799",,"3,576",11,"125,419",165,"215,963","3,229,885","66,864 ",North America,8,"6,079",0,,,"53,482"
429,180,Gibraltar,"8,143",+40,100 ,,"7,484",+40,559,1,"241,804","2,969","443,348","13,165,103","33,676 ",Europe,4,337,0,"1,188",,"16,599"
430,181,Eritrea,"7,873",+20,72 ,,"7,637",+21,164,,"2,175",20,"23,693","6,547","3,619,049 ",Africa,460,"50,265",153,6,,45
431,182,San Marino,"7,526",,98 ,,"6,551",,877,5,"221,112","2,879","102,145","3,000,999","34,037 ",Europe,5,347,0,,,"25,766"
432,183,Niger,"7,268",+5,274 ,,"6,879",,115,2,285,11,"202,140","7,927","25,500,250 ",Africa,"3,509","93,067",126,0.2,,5
433,184,Sierra Leone,"6,706",+47,123 ,,N/A,N/A,N/A,,816,15,"259,958","31,637","8,216,861 ",Africa,"1,225","66,804",32,6,,263
434,185,Dominica,"6,520",,44 ,,"6,173",,303,,"90,241",609,"121,399","1,680,240","72,251 ",North America,11,"1,642",1,,,"4,194"
435,186,Guinea-Bissau,"6,462",,149 ,,"6,297",,16,,"3,173",73,"110,526","54,266","2,036,758 ",Africa,315,"13,670",18,,,8
436,187,Bermuda,"6,014",,106 ,,"5,674",,234,,"97,099","1,711","685,295","11,064,388","61,937 ",North America,10,584,0,,,"3,778"
437,188,Grenada,"5,956",+8,200 ,,"5,681",+2,75,,"52,571","1,765","91,343","806,240","113,295 ",North America,19,566,1,71,,662
438,189,Liberia,"5,929",,287 ,,"5,535",,107,2,"1,133",55,"139,824","26,718","5,233,406 ",Africa,883,"18,235",37,,,20
439,190,Liechtenstein,"5,895",+41,69 ,,"5,438",,388,17,"153,957","1,802","80,413","2,100,104","38,290 ",Europe,6,555,0,"1,071",,"10,133"
440,191,St. Vincent Grenadines,"5,828",,81 ,,"5,151",,596,7,"52,287",727,"93,622","839,945","111,462 ",North America,19,"1,376",1,,,"5,347"
441,192,Chad,"5,701",,181 ,,"4,874",,646,,333,11,"180,347","10,533","17,122,237 ",Africa,"3,003","94,598",95,,,38
442,193,Comoros,"5,479",+143,153 ,,"4,434",+6,892,,"6,108",171,,,"896,990 ",Africa,164,"5,863",,159,,994
443,194,Faeroe Islands,"5,145",+30,13 ,,"4,687",+61,445,5,"104,705",265,"631,000","12,841,385","49,138 ",Europe,10,"3,780",0,611,,"9,056"
444,195,Sint Maarten,"4,774",,75 ,,"4,598",,101,10,"109,505","1,720","62,056","1,423,433","43,596 ",North America,9,581,1,,,"2,317"
445,196,Monaco,"4,750",+80,38 ,,"4,325",+53,387,4,"119,786",958,"54,960","1,385,989","39,654 ",Europe,8,"1,044",1,"2,017",,"9,759"
446,197,Antigua and Barbuda,"4,236",+7,118 ,,"4,059",+5,59,1,"42,732","1,190","18,559","187,221","99,129 ",North America,23,840,5,71,,595
447,198,Saint Martin,"4,008",,56 ,,"1,399",,"2,553",7,"101,107","1,413","78,366","1,976,893","39,641 ",North America,10,708,1,,,"64,403"
448,199,Sao Tome and Principe,"3,755",+11,57 ,,"3,676",,22,,"16,676",253,"29,036","128,947","225,178 ",Africa,60,"3,950",8,49,,98
449,200,Caribbean Netherlands,"3,272",+18,23 ,,"3,147",+13,102,,"123,082",865,"30,126","1,133,238","26,584 ",North America,8,"1,156",1,677,,"3,837"
450,201,Turks and Caicos,"3,235",+16,26 ,,"3,107",+2,102,,"81,915",658,"94,789","2,400,208","39,492 ",North America,12,"1,519",0,405,,"2,583"
451,202,British Virgin Islands,"3,016",,39 ,,N/A,N/A,N/A,7,"98,791","1,277","82,570","2,704,641","30,529 ",North America,10,783,0,,,"10,744"
452,203,Saint Kitts and Nevis,"2,836",+14,28 ,,"2,774",+3,34,1,"52,757",521,"57,508","1,069,797","53,756 ",North America,19,"1,920",1,260,,632
453,204,Bhutan,"2,659",,3 ,,"2,642",,14,,"3,391",4,"1,279,084","1,631,104","784,183 ",Asia,295,"261,394",1,,,18
454,205,Greenland,"2,249",, ,,"1,875",,374,2,"39,514",,"132,563","2,329,099","56,916 ",North America,25,,0,,,"6,571"
455,206,Anguilla,"1,646",,5 ,,"1,605",,36,,"108,282",329,"51,382","3,380,172","15,201 ",North America,9,"3,040",0,,,"2,368"
456,207,St. Barth,"1,621",,6 ,,N/A,N/A,N/A,,"163,374",605,"56,491","5,693,509","9,922 ",North America,6,"1,654",0,,,"116,206"
457,208,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,
458,209,Wallis and Futuna,454,,7 ,,438,,9,,"41,473",639,"20,508","1,873,390","10,947 ",Australia/Oceania,24,"1,564",1,,,822
459,210,Saint Pierre Miquelon,98,, ,,78,,20,,"17,038",,"13,891","2,414,986","5,752 ",North America,59,,0,,,"3,477"
460,211,Falkland Islands,83,, ,,N/A,N/A,N/A,,"22,865",,"8,316","2,290,909","3,630 ",South America,44,,0,,,
461,212,Macao,77,, ,,77,,0,,116,,"5,019","7,577","662,433 ",Asia,"8,603",,132,,,
462,213,Montserrat,45,,1 ,,43,,1,,"9,007",200,"3,230","646,517","4,996 ",North America,111,"4,996",2,,,200
463,214,Vatican City,27,, ,,27,,0,,"33,582",,,,804 ,Europe,30,,,,,
464,215,Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,322","711,781 ",Australia/Oceania,"35,589",,158,,,
465,216,Western Sahara,10,,1 ,,8,,1,,16,2,,,"619,046 ",Africa,"61,905","619,046",,,,2
466,217,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
467,218,Palau,8,, ,,8,,0,,439,,"14,878","816,486","18,222 ",Australia/Oceania,"2,278",,1,,,
468,219,Vanuatu,7,,1 ,,6,,0,,22,3,"23,000","72,383","317,755 ",Australia/Oceania,"45,394","317,755",14,,,
469,220,Marshall Islands,4,, ,,4,,0,,67,,,,"59,781 ",Australia/Oceania,"14,945",,,,,
470,221,Samoa,3,, ,,3,,0,,15,,,,"200,366 ",Australia/Oceania,"66,789",,,,,
471,222,Saint Helena,2,, ,,2,,0,,328,,,,"6,104 ",Africa,"3,052",,,,,
472,223,Micronesia,1,, ,,1,,0,,9,,,,"116,808 ",Australia/Oceania,"116,808",,,,,
473,224,Tonga,1,, ,,1,,0,,9,,,,"107,468 ",Australia/Oceania,"107,468",,,,,
474,,Total:,"84,083,084","+71,506","1,248,111","+1,127","81,398,528","+69,779","1,436,445","29,646",,,,,,Asia, ,,,,,
475,,Total:,"63,018,740","+49,335","1,234,988",+304,"49,695,057","+11,023","12,088,695","21,772",,,,,,North America, ,,,,,
476,,Total:,"39,455,474","+24,727","1,190,521",+166,"37,400,176","+11,839","864,777","12,644",,,,,,South America, ,,,,,
477,,Total:,"83,267,023","+297,131","1,507,514","+2,366","72,618,048","+245,517","9,141,461","22,616",,,,,,Europe, ,,,,,
478,,Total:,"9,544,668","+40,834","227,669",+169,"8,540,209","+17,558","776,790","1,743",,,,,,Africa, ,,,,,
479,,Total:,"454,701","+10,013","4,447",+6,"374,065",+0,"76,189",170,,,,,,Australia/Oceania, ,,,,,
480,,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
481,,Total:,"279,824,411","+493,546","5,413,265","+4,138","250,026,789","+355,716","24,384,357","88,591","35,898.9",694.5,,,,All,"
",,,,,
482,,,,,,,,,,,,,,,,,,,,,,
483,,"
Asia
","84,011,578","+73,531","1,246,984","+1,199","81,328,749","+100,174","1,435,845","29,710",,,,,,Asia,"
",,,,,
484,,"
North America
","62,969,405","+216,224","1,234,684",+964,"49,684,034","+35,461","12,050,687","21,837",,,,,,North America,"
",,,,,
485,,"
South America
","39,430,747","+29,604","1,190,355",+363,"37,388,337","+11,482","852,055","12,673",,,,,,South America,"
",,,,,
486,,"
Europe
","82,969,892","+437,903","1,505,148","+3,148","72,372,531","+287,028","9,092,213","22,735",,,,,,Europe,"
",,,,,
487,,"
Africa
","9,503,834","+49,141","227,500",+186,"8,522,651","+10,225","753,683","1,708",,,,,,Africa,"
",,,,,
488,,"
Oceania
","444,688","+9,204","4,441",+9,"374,065","+2,040","66,182",176,,,,,,Australia/Oceania,"
",,,,,
489,,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,
490,,World,"279,330,865","+815,607","5,409,127","+5,869","249,671,073","+446,410","24,250,665","88,839","35,836",693.9,,,,All,"
",,,,,
491,1,China,"100,731",+87,"4,636 ",,"94,244",+59,"1,851",9,70,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,289","310,467",9,0.06,,1
492,2,USA,"52,986,307","+197,856","837,671 ",+747,"40,994,250","+29,257","11,154,386","16,167","158,700","2,509","798,461,897","2,391,488","333,876,557 ",North America,6,399,0,593,2,"33,409"
493,3,India,"34,779,815","+7,158","479,520 ",+387,"34,215,977","+7,051","84,318","8,944","24,841",342,"669,809,816","478,406","1,400,087,391 ",Asia,40,"2,920",2,5,0.3,60
494,4,Brazil,"22,230,737","+4,164","618,429 ",+201,"21,414,318",,"197,990","8,318","103,497","2,879","63,776,166","296,914","214,796,423 ",South America,10,347,3,19,0.9,922
