,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Cases/1M pop,Death1m,TotalTest,Test1MPeople,population,region,1CaseEveryXPPL,1DeathEveryXPPL,1TestEveryXPPL,temp,X,Y
1,,"
North America
","63,029,155","+10,415","1,235,079",+91,"49,696,842","+1,785","12,097,234","21,766",,,,,,North America,"
",,,,,
2,,"
Asia
","84,142,306","+59,222","1,248,809",+698,"81,469,165","+70,637","1,424,332","29,429",,,,,,Asia,"
",,,,,
3,,"
South America
","39,456,644","+1,170","1,190,542",+21,"37,402,821","+2,645","863,281","12,641",,,,,,South America,"
",,,,,
4,,"
Europe
","83,415,659","+148,636","1,509,232","+1,718","72,791,362","+173,314","9,115,065","22,582",,,,,,Europe,"
",,,,,
5,,"
Africa
","9,559,857","+15,189","227,749",+80,"8,554,843","+14,634","777,265","1,742",,,,,,Africa,"
",,,,,
6,,"
Oceania
","463,515","+8,814","4,450",+3,"374,304",+239,"84,761",176,,,,,,Australia/Oceania,"
",,,,,
7,,"

",721,,15,,706,,0,0,,,,,,,"
96,88,Singapore,"277,555",,821 ,,"273,860",,"2,874",19,"46,897",139,"21,098,774","3,564,911","5,918,458 ",Asia,21,"7,209",0,,,486
97,89,Latvia,"271,431",+203,"4,503 ",+3,"257,569",+472,"9,359",83,"146,300","2,427","5,566,431","3,000,285","1,855,301 ",Europe,7,412,0,109,2,"5,044"
98,90,Qatar,"248,092",+296,615 ,+1,"244,748",+133,"2,729",13,"88,358",219,"3,143,849","1,119,682","2,807,805 ",Asia,11,"4,566",1,105,0.4,972
99,91,Estonia,"236,565",+433,"1,909 ",+2,"220,819",+143,"13,837",21,"178,156","1,438","2,485,466","1,871,789","1,327,856 ",Europe,6,696,1,326,2,"10,421"
100,92,Nigeria,"236,014",,"3,014 ",,"212,357",,"20,643",11,"1,104",14,"3,751,696","17,557","213,691,180 ",Africa,905,"70,900",57,,,97
101,93,Zambia,"233,120","+1,539","3,702 ",+5,"211,473","+1,447","17,945",252,"12,177",193,"2,893,560","151,142","19,144,679 ",Africa,82,"5,171",7,80,0.3,937
102,94,Finland,"230,392",,"1,507 ",,"46,000",,"182,885",59,"41,486",271,"8,501,077","1,530,769","5,553,467 ",Europe,24,"3,685",1,,,"32,932"
103,95,North Macedonia,"223,211",+279,"7,904 ",+10,"210,475",+156,"4,832",,"107,146","3,794","1,574,100","755,599","2,083,247 ",Europe,9,264,1,134,5,"2,319"
104,96,Algeria,"216,637",+261,"6,238 ",+9,"148,985",+196,"61,414",38,"4,812",139,"230,861","5,128","45,022,233 ",Africa,208,"7,217",195,6,0.2,"1,364"
105,97,Botswana,"208,994",,"2,427 ",,"195,479",,"11,088",1,"86,296","1,002","1,997,064","824,606","2,421,841 ",Africa,12,998,1,,,"4,578"
106,98,Albania,"207,709",+167,"3,194 ",+5,"199,386",+253,"5,129",23,"72,293","1,112","1,460,890","508,464","2,873,143 ",Europe,14,900,2,58,2,"1,785"
107,99,Zimbabwe,"203,746",,"4,885 ",,"159,974",,"38,887",12,"13,419",322,"1,808,782","119,132","15,183,053 ",Africa,75,"3,108",8,,,"2,561"
108,100,Uzbekistan,"198,242",+143,"1,479 ",+2,"195,193",+189,"1,570",23,"5,799",43,"1,377,915","40,305","34,186,899 ",Asia,172,"23,115",25,4,0.06,46
109,101,Kyrgyzstan,"184,477",+38,"2,795 ",+3,"179,589",+44,"2,093",131,"27,602",418,"1,905,600","285,123","6,683,427 ",Asia,36,"2,391",4,6,0.4,313
110,102,Mozambique,"170,975",,"1,967 ",,"151,290",,"17,718",13,"5,253",60,"1,056,667","32,464","32,549,274 ",Africa,190,"16,548",31,,,544
111,103,Montenegro,"163,373",+545,"2,394 ",+5,"157,979",+187,"3,000",60,"260,072","3,811","954,972","1,520,211","628,184 ",Europe,4,262,1,868,8,"4,776"
112,104,Afghanistan,"157,951",+49,"7,354 ",+2,"145,474",+82,"5,123","1,124","3,927",183,"817,297","20,318","40,224,465 ",Asia,255,"5,470",49,1,0.05,127
113,105,Cyprus,"150,760",+912,628 ,,"124,370",,"25,762",60,"123,536",515,"9,477,138","7,765,784","1,220,371 ",Asia,8,"1,943",0,747,,"21,110"
114,106,Namibia,"145,637","+1,008","3,610 ",+2,"129,505",+935,"12,522",27,"55,822","1,384","860,787","329,934","2,608,965 ",Africa,18,723,3,386,0.8,"4,800"
115,107,Ghana,"134,555",,"1,269 ",,"129,921",,"3,365",5,"4,201",40,"2,073,433","64,730","32,032,012 ",Africa,238,"25,242",15,,,105
116,108,Uganda,"134,348","+1,116","3,275 ",+1,"98,207",+10,"32,866",85,"2,806",68,"2,109,457","44,062","47,874,597 ",Africa,356,"14,618",23,23,0.02,687
117,109,El Salvador,"121,741",,"3,818 ",,"107,088",,"10,835",91,"18,630",584,"1,505,621","230,405","6,534,665 ",North America,54,"1,712",4,,,"1,658"
118,110,Cambodia,"120,449",+4,"3,008 ",,"116,861",+8,580,,"7,060",176,"2,759,313","161,729","17,061,340 ",Asia,142,"5,672",6,0.2,,34
119,111,Cameroon,"108,451",,"1,851 ",,"105,735",,865,13,"3,940",67,"1,751,774","63,649","27,522,522 ",Africa,254,"14,869",16,,,31
120,112,Laos,"106,231",+851,325 ,+8,"7,339",,"98,567",,"14,294",44,"904,796","121,747","7,431,769 ",Asia,70,"22,867",8,115,1,"13,263"
121,113,Rwanda,"104,512",,"1,346 ",,"45,522",,"57,644",,"7,784",100,"3,890,593","289,764","13,426,771 ",Africa,128,"9,975",3,,,"4,293"
122,114,Luxembourg,"98,983",,907 ,,"92,159",,"5,917",18,"154,409","1,415","3,795,724","5,921,160","641,044 ",Europe,6,707,0,,,"9,230"
123,115,Maldives,"94,864",+132,261 ,,"92,558",+119,"2,045",23,"171,041",471,"1,860,944","3,355,313","554,626 ",Asia,6,"2,125",0,238,,"3,687"
124,116,Jamaica,"92,705",+192,"2,463 ",+1,"65,032",+150,"25,210",3,"31,106",826,"700,367","234,998","2,980,306 ",North America,32,"1,210",4,64,0.3,"8,459"
125,117,Trinidad and Tobago,"89,364",,"2,738 ",,"70,045",,"16,581",22,"63,550","1,947","500,624","356,012","1,406,199 ",North America,16,514,3,,,"11,791"
126,118,Senegal,"74,412",+59,"1,890 ",,"72,317",+25,205,,"4,278",109,"912,419","52,450","17,395,989 ",Africa,234,"9,204",19,3,,12
127,119,Réunion,"71,795",,401 ,,"65,494",,"5,900",34,"79,351",443,"1,347,378","1,489,191","904,772 ",Africa,13,"2,256",1,,,"6,521"
128,120,Angola,"71,142",,"1,746 ",,"63,995",,"5,401",3,"2,070",51,"1,251,654","36,410","34,376,372 ",Africa,483,"19,689",27,,,157
129,121,Malawi,"70,682",,"2,328 ",,"59,563",,"8,791",67,"3,559",117,"476,377","23,986","19,860,502 ",Africa,281,"8,531",42,,,443
130,122,DRC,"70,059",,"1,126 ",,"50,930",,"18,003",,749,12,"846,704","9,048","93,583,518 ",Africa,"1,336","83,111",111,,,192
131,123,Eswatini,"64,443",+62,"1,277 ",+5,"54,943","+1,107","8,223",11,"54,708","1,084","425,045","360,836","1,177,944 ",Africa,18,922,3,53,4,"6,981"
132,124,Ivory Coast,"63,847",,707 ,,"61,245",,"1,895",,"2,335",26,"1,208,604","44,200","27,343,734 ",Africa,428,"38,676",23,,,69
133,125,Guadeloupe,"56,035",,750 ,,"2,250",,"53,035",23,"140,009","1,874","607,573","1,518,079","400,225 ",North America,7,534,1,,,"132,513"
134,126,Fiji,"52,815",,697 ,,"51,221",,897,,"58,291",769,"469,654","518,346","906,062 ",Australia/Oceania,17,"1,300",2,,,990
135,127,Suriname,"51,578",+15,"1,186 ",,"49,082",,"1,310",3,"86,771","1,995","167,219","281,318","594,413 ",South America,12,501,4,25,,"2,204"
136,128,Syria,"50,051",,"2,871 ",,"31,791",,"15,389",,"2,761",158,"146,269","8,068","18,129,053 ",Asia,362,"6,315",124,,,849
137,129,Madagascar,"49,590",,"1,027 ",,"44,708",,"3,855",22,"1,725",36,"320,884","11,164","28,743,100 ",Africa,580,"27,987",90,,,134
138,130,Martinique,"47,300",,769 ,,104,,"46,427",1,"126,189","2,052","466,711","1,245,114","374,834 ",North America,8,487,1,,,"123,860"
139,131,French Guiana,"47,229",,337 ,,"11,254",,"35,638",5,"152,291","1,087","481,773","1,553,490","310,123 ",South America,7,920,1,,,"114,916"
140,132,French Polynesia,"46,376",,636 ,,N/A,N/A,N/A,7,"163,692","2,245",,,"283,312 ",Australia/Oceania,6,445,,,,"43,203"
141,133,Malta,"46,250",+572,475 ,+1,"39,597",+94,"6,178",5,"104,335","1,072","1,211,456","2,732,912","443,284 ",Europe,10,933,0,"1,290",2,"13,937"
142,134,Sudan,"46,100",,"3,298 ",,"38,292",,"4,510",,"1,016",73,"562,941","12,410","45,362,719 ",Africa,984,"13,755",81,,,99
143,135,Mauritania,"40,453",,862  ,,"38,957",,634,18,"8,375",178,"550,908","114,053","4,830,271 ",Africa,119,"5,604",9,,,131
144,136,Guyana,"39,086",,"1,045 ",,"37,301",,740,7,"49,340","1,319","418,463","528,248","792,172 ",South America,20,758,2,,,934
145,137,Cabo Verde,"39,013",,351 ,,"38,169",,493,23,"69,059",621,"388,481","687,668","564,925 ",Africa,14,"1,609",1,,,873
146,138,Gabon,"38,039",,286 ,,"36,221",,"1,532",5,"16,515",124,"1,469,004","637,763","2,303,368 ",Africa,61,"8,054",2,,,665
147,139,Papua New Guinea,"36,110",,589 ,,"35,374",,147,7,"3,926",64,"249,149","27,088","9,197,677 ",Australia/Oceania,255,"15,616",37,,,16
148,140,Belize,"31,503",,592 ,,"30,415",,496,4,"77,156","1,450","375,152","918,806","408,304 ",North America,13,690,1,,,"1,215"
149,141,Guinea,"31,038",,389 ,,"29,803",,846,49,"2,272",28,"570,956","41,800","13,659,176 ",Africa,440,"35,114",24,,,62
